market_ids,prices,shares,firm_ids,nesting_ids,product_ids,demand_instruments1,demand_instruments2
1,3.58432944866814,0.00432942884253682,1,1,1,3.19759497148265,-2.3817414845378
1,3.60760802654899,0.00419649432916267,2,1,2,3.24196984371308,-2.42674136152052
1,3.49007233210247,0.00915859438936873,3,1,3,3.14187011290793,-1.767583136098
1,3.20208926719428,0.0368369626572284,4,1,4,2.85440375187881,-0.662854778433317
1,3.31905043975404,0.0302970771182359,5,1,5,3.00872914207537,-0.841105948685039
1,3.47158082270945,0.00564875869263063,1,2,6,3.13930136362847,-2.19447317869082
1,3.48730148631757,0.00828139073740414,2,2,7,3.16942855068777,-1.90972936137011
1,3.49287147416414,0.00897150956950012,3,2,8,3.1573347696826,-1.85889337485027
1,3.25057229459752,0.0628729907044617,4,2,9,2.85451169905972,-0.295769739911477
1,3.47490172768254,0.0041752897582699,5,2,10,3.10807049186225,-2.45342855060673
1,3.44648259595391,0.0278990445041948,1,3,11,3.10807014492253,-0.693809246789508
1,3.72555204834048,0.00311945090712946,2,3,12,3.33669546464909,-2.43689510187479
1,3.6738942898842,0.00453121618789866,3,3,13,3.31217226992542,-2.13450800981363
1,3.43865874420028,0.0184832084873876,4,3,14,3.0934681124859,-1.01304481027394
1,3.55372312581306,0.0111929758342973,5,3,15,3.18740087754337,-1.40801944566863
1,3.30489746492492,0.0205027884692376,1,4,16,2.97576884339048,-1.23786141412581
1,3.69498180220138,0.00134979178645551,2,4,17,3.33574309670546,-3.4097348831425
1,3.40822621767098,0.00937806532879475,3,4,18,3.09026551693701,-1.8545839362376
1,3.18006482069265,0.0630805210867169,4,4,19,2.84417943627511,-0.353861250547281
1,3.77122915025339,0.00117558378800413,5,4,20,3.38267078646651,-3.53696017766841
1,3.45016285144456,0.014257847359558,1,5,21,3.0907337058531,-1.47986523200625
1,3.46773969559177,0.00991686389147311,2,5,22,3.13792364623851,-1.75885248231859
1,3.49000905565058,0.0072149945407075,3,5,23,3.17246068716456,-2.01208331058175
1,3.34337086649245,0.0137759387773798,4,5,24,3.03014820022955,-1.50401281828789
1,3.24083588349954,0.0442951524496221,5,5,25,2.94357257048685,-0.549215874190045
2,3.59342514654392,0.00387332620471057,1,1,1,3.23906813935841,-2.52941467393785
2,3.60299522823411,0.00433337437721844,2,1,2,3.22666158862528,-2.45272944693881
2,3.49363707251055,0.0111684073085771,3,1,3,3.15786832233841,-1.66030904327739
2,3.2004992220941,0.049975472054208,4,1,4,2.91497689664553,-0.498462853547897
2,3.31477040547734,0.0234121106839371,5,1,5,2.99341455505429,-1.09159893806434
2,3.49016227705364,0.00866094960577526,1,2,6,3.1597302785759,-1.86315110831545
2,3.48105402982684,0.0107704822010394,2,2,7,3.10207867021791,-1.70538149763052
2,3.47522562835128,0.0205688722211938,3,2,8,3.13912418396043,-1.15175894486628
2,3.25945003865826,0.0328627181888239,4,2,9,2.93042659574228,-0.806344840963604
2,3.47815415669867,0.015989281867243,5,2,10,3.1414053124448,-1.37130818637062
2,3.44693646348061,0.0229379335042429,1,3,11,3.12777850232456,-0.834009972720584
2,3.71394000025589,0.00560622733108512,2,3,12,3.32975775269319,-1.97392202766926
2,3.67620594048141,0.00545232380142324,3,3,13,3.33870404311853,-1.99890825235685
2,3.44320707175648,0.0211448173811381,4,3,14,3.08001849311289,-0.919790072664092
2,3.5483234179073,0.0114993430220642,5,3,15,3.19430770998564,-1.4031677986632
2,3.30760828159793,0.032013585906277,1,4,16,2.98298656606143,-0.905994914031302
2,3.67928494044434,0.00297711037920669,2,4,17,3.3326929079344,-2.82967196519078
2,3.40279901609109,0.0169839932346938,3,4,18,3.05605618781401,-1.43422322125084
2,3.16752069840137,0.0490349079706278,4,4,19,2.83205114564965,-0.58835471165445
2,3.76521295346679,0.0007162184279066,5,4,20,3.41702394045988,-3.96896145929522
2,3.45480331526497,0.00952306757393277,1,5,21,3.11657584230227,-1.91205300719006
2,3.47321562692748,0.00878757798341532,2,5,22,3.08762050669253,-1.96844176160204
2,3.5117125130553,0.00246744423595053,3,5,23,3.16693971019327,-2.9898733992548
2,3.3314159675251,0.0191203603750692,4,5,24,2.96426263481275,-1.36030600522078
2,3.25419835670297,0.063814528162826,5,5,25,2.94459684079896,-0.371997490555206
3,3.58239604375101,0.00500653881468213,1,1,1,3.25189977107222,-2.23671364172325
3,3.60371587450652,0.0037310664030929,2,1,2,3.23968872955859,-2.46656289425756
3,3.51981581007138,0.00578250148294635,3,1,3,3.1496663619273,-2.11194373010967
3,3.20214679189588,0.0367779604660228,4,1,4,2.9064707096965,-0.649516840949133
3,3.29973720230305,0.0298087690948152,5,1,5,2.95954941608462,-0.810862526317175
3,3.47923853226403,0.0100328115326368,1,2,6,3.11494524000775,-1.73830942958381
3,3.4777414126477,0.00660215642107336,2,2,7,3.1047318605017,-2.08678741974386
3,3.48343405366301,0.00960134484940675,3,2,8,3.10573768770761,-1.73920896921928
3,3.25524015984586,0.0525288857097304,4,2,9,2.93523172759512,-0.408274467500273
3,3.46949119470121,0.00794546667593008,5,2,10,3.11590714895428,-1.90357968698152
3,3.44630374728097,0.0214158460244774,1,3,11,3.11744306072979,-0.955688663003511
3,3.73075830943916,0.0032943021203332,2,3,12,3.35654859918685,-2.46335140354436
3,3.69205358860574,0.00348149713968224,3,3,13,3.31865450029416,-2.40959946393528
3,3.43565718129201,0.0374568579211293,4,3,14,3.05766215288393,-0.504566199064274
3,3.57368057059903,0.00508765482864321,5,3,15,3.2008032353902,-2.11714004584098
3,3.30783498276845,0.0240508014492306,1,4,16,2.97914007701257,-1.10294991213569
3,3.68949217372754,0.00126514108273653,2,4,17,3.31198005360236,-3.45895031054183
3,3.41908022959856,0.00821742894365616,3,4,18,3.10267314344838,-1.9750334739688
3,3.17433174705601,0.0618982861987079,4,4,19,2.82026996197493,-0.352528144631546
3,3.76662941363319,0.00148312042672425,5,4,20,3.38634251348878,-3.35593301168789
3,3.46903182891173,0.00985796930501129,1,5,21,3.12442015751877,-1.74806722660629
3,3.46860172447902,0.014431256777229,2,5,22,3.10729440008815,-1.45017604938981
3,3.50468402133952,0.00538627539267146,3,5,23,3.15645567575566,-2.22124164120886
3,3.34130284236043,0.0244303231612322,4,5,24,3.04039790801429,-1.03732076094268
3,3.24750383153925,0.034174093160124,5,5,25,2.90174567266621,-0.739120750357666
4,3.57698152050557,0.00281084611153069,1,1,1,3.21226573811903,-2.99178899491591
4,3.59269294942269,0.00135528028262534,2,1,2,3.20504204361954,-3.57111657532587
4,3.48047630575935,0.00887022308239681,3,1,3,3.14698742547796,-2.05812302991076
4,3.2049869231565,0.0807091438337906,4,1,4,2.86036713820738,-0.295067276205273
4,3.31453998975023,0.0245839763945089,5,1,5,2.96592210625227,-1.26586102388598
4,3.48306478511991,0.0185826561544119,1,2,6,3.16321737272698,-1.30109460219134
4,3.50670685319899,0.0102318017153588,2,2,7,3.17250457383384,-1.77847282461568
4,3.47302520580994,0.00833317881841205,3,2,8,3.11060328146079,-1.9227816542707
4,3.233656001621,0.0463098946636253,4,2,9,2.93062126356464,-0.562797616782668
4,3.46755420452322,0.00996723185427814,5,2,10,3.10761686278437,-1.79472994303957
4,3.4522908283947,0.0354171308346882,1,3,11,3.10918229256147,-0.593044215012416
4,3.73422746166459,0.00319005727522559,2,3,12,3.39749205096529,-2.50923710680414
4,3.68655184210287,0.00530408657846449,3,3,13,3.36303992446279,-2.11443272118145
4,3.4322375933435,0.0179760851600983,4,3,14,3.08015079625721,-1.13329924555075
4,3.54401907485448,0.012518325621144,5,3,15,3.18901694793962,-1.44902503832574
4,3.305610863361,0.0124290711966203,1,4,16,2.99583159081356,-1.82076588461873
4,3.66687185277373,0.00152111863419239,2,4,17,3.31233490476951,-3.50522963578157
4,3.41663273923169,0.0131314751001414,3,4,18,3.07030902976877,-1.77650252803254
4,3.17272919702107,0.0916297552812227,4,4,19,2.85126688202065,-0.223535419939021
4,3.74894602011004,0.00130766066702364,5,4,20,3.35837084835485,-3.61974981536937
4,3.46396767154955,0.0143875224061001,1,5,21,3.072131295557,-1.48674474153096
4,3.47741419668324,0.018211600777972,2,5,22,3.12653974354881,-1.28669603525832
4,3.51785039590769,0.0123963685806173,3,5,23,3.14210798414071,-1.58663683660211
4,3.34113343493202,0.0139649867034468,4,5,24,3.00246128245516,-1.52102825786625
4,3.24614029644152,0.03275128534655,5,5,25,2.97089225490014,-0.80623831338036
5,3.57795632408851,0.00417734437635924,1,1,1,3.22083841248396,-2.46412070675292
5,3.61202486711332,0.00328423745870869,2,1,2,3.28101293423674,-2.66844777606538
5,3.50750913220369,0.00517427212889065,3,1,3,3.13454392948761,-2.28993186710248
5,3.2016975776437,0.0540423520019003,4,1,4,2.90703927301641,-0.426429532497129
5,3.3005571923923,0.0256975670128167,5,1,5,2.93702918888908,-1.03377728628484
5,3.4939418887597,0.0153161383018942,1,2,6,3.13894917541105,-1.39385024342541
5,3.45852152200341,0.0109679481069826,2,2,7,3.11848443948253,-1.64994784525477
5,3.48109176347212,0.00755715878112933,3,2,8,3.14538464142961,-1.97800053439429
5,3.25725088306622,0.0447616244946712,4,2,9,2.92904054822232,-0.557187932899489
5,3.46710441867791,0.0101022739077875,5,2,10,3.09874950143372,-1.72666260721915
5,3.45701431382768,0.0243613548439207,1,3,11,3.08695935820274,-0.863605940614207
5,3.72144898611531,0.00354528357515492,2,3,12,3.33486094020376,-2.41890867495085
5,3.68706892629379,0.00293509990676552,3,3,13,3.29797871054177,-2.54400851599469
5,3.4340340357548,0.0315714781069545,4,3,14,3.07904890941498,-0.657502328087146
5,3.57069956417465,0.00926637650508119,5,3,15,3.19461913393311,-1.64460300237177
5,3.31617722103744,0.0203725095584917,1,4,16,3.00940064701185,-1.29691560432575
5,3.69426855994341,0.00150629868484431,2,4,17,3.33024001851456,-3.37970130387288
5,3.40897919249451,0.017464075251502,3,4,18,3.07375061633504,-1.40495799299838
5,3.17317238045811,0.0622558227882035,4,4,19,2.83907546291615,-0.409004633828893
5,3.77060911900565,0.000716803219775542,5,4,20,3.39908443905066,-3.96411991736807
5,3.47479563184831,0.0212222078776411,1,5,21,3.13377631187244,-1.18846588861449
5,3.46273679928111,0.0099536921346663,2,5,22,3.09774213630459,-1.8127921273992
5,3.48758108101085,0.0103456520893377,3,5,23,3.1150394979771,-1.76995160208293
5,3.35327898806784,0.0260452841768494,4,5,24,2.97925237958138,-1.0512138565037
5,3.26278330904344,0.0273675210814962,5,5,25,2.95396084357057,-0.988094197208108
6,3.5837823792242,0.00502494619311232,1,1,1,3.20516117477975,-2.43200841698662
6,3.62033283737633,0.00285024035078524,2,1,2,3.25923431107785,-2.86633182712397
6,3.52856203451678,0.00507023616346224,3,1,3,3.17736804944514,-2.40927255123565
6,3.20143286616678,0.0671263946607325,4,1,4,2.88311390515143,-0.351170255523202
6,3.29920465610093,0.0235137127551233,5,1,5,2.9565200995632,-1.20104978336416
6,3.48273614866308,0.00465402988710728,1,2,6,3.12993550461548,-2.38967729150213
6,3.48035228808762,0.0083508855083345,2,2,7,3.12617876469621,-1.93375885491379
6,3.48742169877639,0.0118175916789693,3,2,8,3.16567094693046,-1.64073556367014
6,3.24506234565097,0.0603723611476174,4,2,9,2.89743243983806,-0.352669175517822
6,3.48938417646967,0.00863422182601679,5,2,10,3.13632751612627,-1.92637693015476
6,3.44783616597152,0.0133882707867977,1,3,11,3.12438059406012,-1.26156173311231
6,3.72024537860455,0.00551951205263817,2,3,12,3.35664220161237,-1.99024792557524
6,3.6907866407803,0.00457255519639157,3,3,13,3.29994378956128,-2.1286638661777
6,3.44222691400524,0.0260555141329707,4,3,14,3.11386725276793,-0.753004472551882
6,3.56387456825634,0.0166493567603364,5,3,15,3.1534503919069,-1.09794999439974
6,3.29053902908823,0.0343058472184049,1,4,16,2.95163333040291,-0.793861655127445
6,3.67900926699252,0.000650850613442264,2,4,17,3.34246328171648,-3.96391343713397
6,3.39106153657154,0.00881394117037515,3,4,18,3.06192459720003,-1.88440594707209
6,3.17561886040982,0.0489693771507843,4,4,19,2.87388914084267,-0.51791618171939
6,3.77512596895893,0.000771092389589892,5,4,20,3.39575431089744,-3.83697707769584
6,3.4721075150632,0.0100761651301437,1,5,21,3.11729243538745,-1.75584731505346
6,3.4941679552521,0.00869372636532638,2,5,22,3.15866948692598,-1.88431225331262
6,3.50918739597469,0.00593449005728,3,5,23,3.20460984942945,-2.17687984764718
6,3.34836583223899,0.032258506944154,4,5,24,3.00816126691051,-0.838628274883869
6,3.24328135078295,0.033846366078822,5,5,25,2.94769362990287,-0.808597428639572
7,3.58544510333074,0.00432252581473217,1,1,1,3.21611454156158,-2.53007907343438
7,3.6169991778023,0.00314627046078321,2,1,2,3.24669782343365,-2.78386512437282
7,3.51773294074321,0.00564986073921275,3,1,3,3.17897435236721,-2.31530457872121
7,3.19482760409964,0.0667770817951704,4,1,4,2.85730379147401,-0.324000272648725
7,3.28578712891338,0.0224668010602776,5,1,5,2.97605392921372,-1.20085686561431
7,3.46455486185429,0.0122881308369508,1,2,6,3.08443404525026,-1.59919446189743
7,3.46668779768742,0.01772990814252,2,2,7,3.07160405031525,-1.3223335928909
7,3.4694342409393,0.0173124964849906,3,2,8,3.11931239562338,-1.33451023131659
7,3.25123999310035,0.0295506147780138,4,2,9,2.93269363122316,-0.921767514161331
7,3.46125267602221,0.0159631884429017,5,2,10,3.14063547953499,-1.41082096978637
7,3.45037963410723,0.0223863239631893,1,3,11,3.10773503712978,-0.965544156846669
7,3.73109784838149,0.00466382328620412,2,3,12,3.37707664660363,-2.20225988033227
7,3.67147933558062,0.00632485051411909,3,3,13,3.30914260782671,-1.94996772083166
7,3.43137130661951,0.0266415939995589,4,3,14,3.10182410651859,-0.819429467440942
7,3.55175548911511,0.0132081460733013,5,3,15,3.17720453643792,-1.37238448269785
7,3.30345989848977,0.038176184093272,1,4,16,2.97158576712421,-0.802926102557312
7,3.67611679803293,0.00331085566175192,2,4,17,3.29654932055914,-2.75977353442999
7,3.4172685860475,0.0113697549195461,3,4,18,3.07080194155005,-1.75566544593115
7,3.16869076232925,0.0491849432168566,4,4,19,2.89775469140827,-0.592312076397517
7,3.77441918331944,0.00117370460523676,5,4,20,3.36889414297268,-3.57392678968623
7,3.46371499486019,0.0172745633236102,1,5,21,3.11802703812693,-1.37877591401681
7,3.48855683618986,0.0116801933566784,2,5,22,3.13328313923601,-1.68645819957779
7,3.51409694462875,0.0100210650793449,3,5,23,3.17027490430149,-1.84095227162317
7,3.36201306484027,0.0208997625096824,4,5,24,3.06166533623345,-1.24056273240199
7,3.25852129190979,0.0374113478654925,5,5,25,2.95091545574056,-0.766271326478628
8,3.56998977918328,0.00785103157923359,1,1,1,3.19985252585036,-1.95956439590481
8,3.61209382167956,0.00286495360212841,2,1,2,3.22220911112914,-2.75803341537249
8,3.49439165851012,0.00643148694141204,3,1,3,3.16191235539264,-2.12899109236871
8,3.17942794325315,0.0484636518391997,4,1,4,2.84164279096829,-0.512957682825386
8,3.29165283763201,0.0257161371257479,5,1,5,2.94818229413891,-1.01671605614664
8,3.46568896696834,0.00753448417772971,1,2,6,3.12842707099599,-1.96763642436043
8,3.47160083323142,0.00568885393996699,2,2,7,3.09399178356549,-2.19830953069138
8,3.49297792899741,0.00823490169239862,3,2,8,3.17480508328469,-1.89221877034727
8,3.2420039471954,0.0601689602413595,4,2,9,2.91985997747663,-0.320174959549098
8,3.49581830461959,0.00729182808420176,5,2,10,3.14155468717721,-1.99666616660829
8,3.45514114877911,0.014193367355215,1,3,11,3.12578352828958,-1.22254222927307
8,3.73744391156963,0.00282247862113172,2,3,12,3.37982378294332,-2.53498165154669
8,3.68388150499417,0.00556217884464332,3,3,13,3.31050993589425,-1.97287811176967
8,3.43707802132633,0.0371746253407359,4,3,14,3.11541687937961,-0.438735860091427
8,3.55141562550398,0.00599292756662918,5,3,15,3.20362028894735,-1.92814775198607
8,3.31308595812743,0.020873766423897,1,4,16,3.00377741690565,-1.21473678460659
8,3.66567993884468,0.00165770701169481,2,4,17,3.3043814406213,-3.24497982809917
8,3.40089612644023,0.0134183423898274,3,4,18,3.0569846578095,-1.55057174801807
8,3.16307322700298,0.0577937259745017,4,4,19,2.88174081992236,-0.399221475053679
8,3.76915946150882,0.00078961518342015,5,4,20,3.37657939445441,-3.82061458194955
8,3.47547074299723,0.00431252420366628,1,5,21,3.14058536049892,-2.43633402418198
8,3.50821356654221,0.00422453363232709,2,5,22,3.19784000021426,-2.45460356681929
8,3.48678959897876,0.00596749328235859,3,5,23,3.12984367469801,-2.15007002110105
8,3.34407892944697,0.0172641281648882,4,5,24,3.02236375509083,-1.30426741328437
8,3.23730694890276,0.0570308569376759,5,5,25,2.91996731228314,-0.351430422613783
9,3.57501533634257,0.00358861480308093,1,1,1,3.21054888918902,-2.65894520452415
9,3.60782850542594,0.00397972928695043,2,1,2,3.24697457002425,-2.58518195462937
9,3.5021414578753,0.00961884317474853,3,1,3,3.16428300807414,-1.87845064786198
9,3.20004709443835,0.0575679635065215,4,1,4,2.92661197599046,-0.457204847937768
9,3.31144498399101,0.0260849528411431,5,1,5,2.99802904457379,-1.08164694523324
9,3.47815328335773,0.00739102183497282,1,2,6,3.12545624530693,-2.07347830630057
9,3.48138647742255,0.0117360705072902,2,2,7,3.0937853893308,-1.70146129147868
9,3.46243138765882,0.01731315951696,3,2,8,3.12116945117204,-1.38628674929542
9,3.24293629204391,0.0509277393836176,4,2,9,2.92386221290741,-0.516974375589187
9,3.47889960317452,0.00998660217648099,5,2,10,3.11518002914245,-1.80566405364622
9,3.43377599432819,0.0275232296707054,1,3,11,3.11058506005238,-0.754222044315682
9,3.73131244853538,0.00494153940831681,2,3,12,3.36599865814581,-2.12781866354312
9,3.67182144405777,0.00466134928854014,3,3,13,3.31637730678978,-2.17314487851682
9,3.44206374735522,0.0202993950248578,4,3,14,3.08813363822151,-0.989512090321752
9,3.55474638904465,0.0135636362992751,5,3,15,3.18559466250278,-1.31830351799125
9,3.30869250605909,0.0188948122518011,1,4,16,2.96847475992388,-1.41121757394955
9,3.66447040450812,0.00262864822180533,2,4,17,3.27581175264233,-2.99411886184402
9,3.40028610545357,0.00697594324473682,3,4,18,3.04980667647634,-2.20301797697292
9,3.17183525958418,0.0810893374674407,4,4,19,2.86918858127113,-0.263358207685636
9,3.76819286693285,0.000766571259067991,5,4,20,3.34626664525131,-3.97520898413628
9,3.4583985909494,0.0135771171192637,1,5,21,3.07711928402885,-1.50024184099094
9,3.48022598151489,0.00927565884060451,2,5,22,3.1327351812192,-1.81674753939408
9,3.51763216735944,0.0107170475362758,3,5,23,3.17243881105877,-1.69314617985815
9,3.33866682210472,0.0173671828176892,4,5,24,2.98582354234692,-1.3109927261167
9,3.23608899503923,0.0386740462191758,5,5,25,2.92320893895518,-0.666397662772991
10,3.57824364620299,0.00802372552845788,1,1,1,3.24559972004582,-2.01072232237192
10,3.60603871642948,0.00279503922444571,2,1,2,3.25910970124198,-2.83272039062454
10,3.51615014360869,0.00558143420949597,3,1,3,3.13326723627331,-2.29218719955887
10,3.19529023104703,0.0610730942432426,4,1,4,2.86114993435431,-0.380642696301156
10,3.31247558204256,0.0209854298754833,5,1,5,2.96415181068712,-1.24855320525857
10,3.48977333328597,0.00802850686135832,1,2,6,3.13402094457762,-2.03946496573533
10,3.4772803233138,0.0122970381280313,2,2,7,3.11612659851654,-1.71090164528366
10,3.47126273790987,0.0088498009827615,3,2,8,3.10730417200585,-1.96250222974287
10,3.24854225797453,0.0678771173079744,4,2,9,2.96188629999131,-0.342064558201362
10,3.46797781496922,0.00545292999113566,5,2,10,3.11452064931844,-2.34764952814023
10,3.44218307214032,0.0275662053225173,1,3,11,3.0949162341032,-0.685672609232982
10,3.71946051222457,0.00356658339714653,2,3,12,3.35324170616492,-2.32802611678036
10,3.69073272614872,0.00653588173612007,3,3,13,3.28701501370702,-1.82229235158568
10,3.4450904439839,0.0195218220066565,4,3,14,3.07774873837965,-0.949551851727335
10,3.5561353016197,0.00788733671762073,5,3,15,3.20991906743165,-1.67412131181764
10,3.31973906971659,0.0246206457634319,1,4,16,2.99479295581701,-1.07786363706052
10,3.67700988563142,0.0014161545086181,2,4,17,3.28608852993799,-3.36048309677084
10,3.40824176441775,0.0115348942881126,3,4,18,3.08993074862741,-1.69691026297684
10,3.18611368997537,0.0570064750561634,4,4,19,2.86616753996195,-0.410789172797054
10,3.76207686842778,0.000842861216897579,5,4,20,3.38870299456113,-3.79462574586405
10,3.43988217064059,0.0166544772220675,1,5,21,3.09807962666236,-1.36293281938161
10,3.47374947621013,0.0121921793241528,2,5,22,3.11537507939049,-1.60341722285121
10,3.50725510813393,0.00714564779735994,3,5,23,3.11990397550164,-2.05328043840897
10,3.3384535338321,0.0170608063816249,4,5,24,3.00199064189461,-1.34813632761301
10,3.27136136651885,0.0387221882579811,5,5,25,2.91292580918378,-0.705005142738936
